"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"SCBI_006-M-27-2-20140715",0.0641504799833694,0.223307642744356,0.279156390775449,0.0479561859117409,0.385429300585084
"SCBI_006-M-29-37-20140618",0.0671067728674105,0.234194792167315,0.261335940520365,0.052721070458347,0.384641423986563
"SCBI_006-M-3-26-20140715",0.0680347956675172,0.237660331312988,0.25526906175278,0.0544829644363582,0.384552846830356
"SCBI_006-M-33-11-20140826",0.0675795515532775,0.237305058904487,0.256665798107344,0.0540947887281094,0.384354802706782
"SCBI_006-M-4-7-20140826",0.0685504433932465,0.240271857945329,0.252650755141649,0.0552100768599081,0.383316866659868
"SCBI_006-M-9-11-20140618",0.0679684009296246,0.237667918220313,0.256059266298578,0.0542677347152361,0.384036679836249
"SCBI_012-M-0-30-20140825",0.0679183536863647,0.236531579449218,0.257369808234575,0.0538084831015314,0.384371775528311
"SCBI_012-M-15-33-20140618",0.0629168681807867,0.218850886164972,0.286765789679044,0.0460563878247093,0.385410068150488
"SCBI_012-M-16-7-20140825",0.0662612545026547,0.232028778025514,0.267065379211456,0.0508073217373847,0.38383726652299
"SCBI_012-M-19-40-20140715",0.0628991139898884,0.219408173001247,0.285685998258164,0.0462735600173068,0.385733154733394
"SCBI_012-M-2-33-20140618",0.0644551426753222,0.224476135404865,0.276674514930611,0.0486004051315885,0.385793801857614
"SCBI_012-M-21-38-20140715",0.0708009476723881,0.247201819997784,0.240669909964679,0.0591276458939226,0.382199676471227
"SCBI_012-M-21-39-20140618",0.0642159772932747,0.223790399570461,0.277509509072068,0.0483341806045018,0.386149933459694
"SCBI_012-M-33-4-20140715",0.0646740810061567,0.224791678663493,0.275549942076739,0.0489746799416931,0.386009618311918
"SCBI_033-M-36-16-20140826",0.0668069257452311,0.232909072767972,0.264348362327123,0.0517921982283095,0.384143440931364
"SCBI_033-M-4-38-20140826",0.0690529793941142,0.241228057798154,0.246051308184175,0.0581932006625791,0.385474453960978
"SCBI_033-M-6-12-20140826",0.0686123780701637,0.242178203761524,0.248732649735644,0.0567202378123942,0.383756530620275
"SCBI_045-M-23-30-20140825",0.0711284002797126,0.246212651131221,0.232704037971556,0.0619171408536438,0.388037769763866
"SCBI_045-M-30-38-20140825",0.0713918610594701,0.245378031506197,0.233648228546759,0.061679197203155,0.387902681684419
"SCBI_045-M-31-2-20140825",0.0702970111624119,0.24386024150325,0.238587533893991,0.0595040137144029,0.387751199725944
"STER_005-M-0-30-20140820",0.0473902476657981,0.0805316196434257,0.386631270165549,0.0242952425522031,0.461151619973024
"STER_005-M-16-7-20140820",0.0445457615394139,0.0752997012533823,0.403192831355679,0.0218222717425231,0.455139434109002
"STER_005-M-23-38-20140820",0.0462704541520892,0.0785976221904309,0.392272794076213,0.0234165495723609,0.459442580008906
"STER_006-M-1-6-20140722",0.0586596398479904,0.100759310260799,0.323018181366422,0.0359927182103426,0.481570150314446
"STER_006-M-22-32-20140820",0.0573718701308588,0.0987317934555512,0.329339273183463,0.0343491467942951,0.480207916435832
"STER_006-M-30-37-20140820",0.0590120084108648,0.101080551564318,0.322656456902709,0.0359702086723857,0.481280774449722
"STER_006-M-7-0-20140820",0.0564846916466701,0.0965158216861441,0.335418550788811,0.0332856322555582,0.478295303622817
