"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"SCBI_033",0.127891703215925,0.225984345274959,0.0550398184317662,0.0389502977883291,0.147577179968221,0.220235861834991,0.0583596212372901,0.0478141305271207,0.0278878273161289,0.0502592144052698
"SCBI_045",0.130513734348535,0.229646577690499,0.0566387356192186,0.0416114056611728,0.136616875561315,0.219811313519702,0.059504079270076,0.0494018972289217,0.0266969860346636,0.0495583950658964
"STER_005",0.110668856767369,0.0798799476952688,0.0567980905074972,0.0239607684669779,0.28521993612688,0.159824106933274,0.0489837055333205,0.0453068678494934,0.089123810971559,0.10023390914836
"STER_006",0.127706851941862,0.0916619597401346,0.0746834859885195,0.0326648576869311,0.220151052284384,0.171951747080105,0.0530213214717363,0.0545265215175069,0.0742648034452927,0.0993673988435281
"STER_007",0.116956838032076,0.0836980752192835,0.0624991928337736,0.0277383837509543,0.262125571659583,0.161685088666478,0.0514941720618854,0.0489123149596257,0.084797344205932,0.100093018610408
"STER_018",0.109051873918314,0.0789169812743982,0.0557310472657494,0.0234848701282904,0.290151911504146,0.158702929118767,0.0486228788390501,0.0445054235963644,0.0906933776909636,0.100138706663957
"STER_026",0.126473327543386,0.0895256696203272,0.07127781443845,0.0328569196832545,0.228274333028508,0.166865054872853,0.0542793645920096,0.0540166591759072,0.076931047009022,0.0994998100362833
"STER_027",0.11099466426476,0.0805429030860943,0.0576439748665828,0.0245343878845667,0.283826671923163,0.159380683068743,0.049146266271289,0.0453235381660485,0.0889201684033303,0.0996867420654222
"STER_028",0.106648260669727,0.0778261293504182,0.0548279954293485,0.0220754293227703,0.297619120371521,0.159997888208054,0.0468911957626454,0.0426944872639645,0.0911872325221628,0.100232261099389
"STER_029",0.120696221851597,0.0868309572942327,0.0668617857511355,0.0288766779919843,0.246052340995211,0.167641391076183,0.0516382272258343,0.0505539233969799,0.0805914962140128,0.10025697820283
"STER_031",0.126401622558643,0.0915437943153469,0.0749511912720566,0.0316412823553784,0.222093431645389,0.174597614004805,0.0516848340614796,0.0534688122588109,0.0742574136662103,0.0993600038618804
"STER_033",0.107589581663923,0.0781443559716148,0.0554857220242308,0.0226535453895322,0.294093097948365,0.160168926726225,0.0476024822073599,0.043211402627137,0.0910084178235896,0.100042467618023
"STER_034",0.094979064858926,0.0680850025054046,0.0422164079537593,0.0190223198566784,0.350434854947242,0.139234590897363,0.0462724289906858,0.038196104044527,0.104206185726048,0.0973530402193658
"STER_035",0.0917145875263387,0.0677367276389757,0.0426706620651057,0.0164627367810137,0.355895310811434,0.146375325293413,0.0426138223112926,0.0354898509046897,0.103195882650517,0.0978450940172195
"TALL_001",0.135897996970446,0.163870582513832,0.0479335269410825,0.0969562553493056,0.158341682859012,0.10443862909448,0.1323835324416,0.0759761354458347,0.0331913586726336,0.0510102997117737
