"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"HARV_016-O-0-30-20140715",0.0513119281427713,0.0882099198216644,0.0323976353570158,0.020250742776065,0.579655259300402,0.0395140649324436,0.0631291118852801,0.0608295018627491,0.0247362762345389,0.0399655596870696
"HARV_020-M-12-33-20140812",0.161591277973203,0.267550794535406,0.0692792013114165,0.0885465070313908,0.0508357473812141,0.129731457477693,0.0741817813979838,0.108161330942626,0.0151587257061071,0.0349631762429597
"HARV_020-M-30-27-20140812",0.161726696602855,0.266820388615004,0.0694177240359807,0.0886103659342707,0.0508913754402994,0.129964033159054,0.0741664013760145,0.108224823261774,0.0152011239642685,0.0349770676104792
"HARV_020-M-37-22-20140812",0.161566578117301,0.267099919569887,0.0695465521285123,0.0882798208148277,0.0510870888538339,0.129756213967549,0.0742622458515099,0.108294749260261,0.0151850156309555,0.034921815805362
"HARV_020-O-12-33-20140812",0.161480393831286,0.267120051031078,0.0694365025294311,0.0881269504302073,0.0510976046866852,0.130556105821025,0.0743110009387096,0.107539785840387,0.0152039834962237,0.035127621394967
"HARV_020-O-30-27-20140812",0.161724878702224,0.267513412080782,0.0695794011861978,0.0882683307977117,0.0507874595985804,0.130176209516163,0.0739042601066479,0.107970179333782,0.0151532442703762,0.0349226244075349
"HARV_020-O-37-22-20140812",0.161608416135404,0.266679652247419,0.0694137921636722,0.0886512247753755,0.0510067272667541,0.129968372188995,0.0741886518765925,0.108270224947874,0.0151808116674758,0.0350321267304377
"HARV_021-M-36-16-20140717",0.0894414384144682,0.112258304623662,0.0391809176483174,0.0560192020902213,0.424980476949393,0.0371848059339058,0.0754577122795604,0.0806110696609508,0.0395003752217173,0.0453656971778042
"HARV_021-M-6-12-20140717",0.0886444733583437,0.117485841997972,0.0431132826727748,0.0477644713744235,0.430582356463542,0.0419684112799888,0.0693387914635483,0.0773194131286193,0.0374292152340338,0.0463537430267535
"HARV_021-O-3-37-20140717",0.09243247201897,0.118710083397928,0.0433444506628545,0.0528107075002218,0.415018162210826,0.0413184936917371,0.0716433178113695,0.0799337452082084,0.0385747694464141,0.0462137980514712
"HARV_021-O-36-16-20140717",0.0918232728025389,0.119737904752088,0.0440067296748076,0.0514116574291381,0.416350266138268,0.0424959776388266,0.0699990011060543,0.0788681835897846,0.0385371879003511,0.046769818968143
"HARV_033-M-23-30-20140717",0.117564748049949,0.169134325767724,0.0617818987270059,0.0546117817268776,0.285593553130825,0.0694818263064665,0.0697226632381287,0.0887301190020328,0.0331194502665404,0.0502596337844501
"HARV_033-M-30-38-20140717",0.118944401664099,0.175054708541539,0.0664571804714075,0.0512756442644638,0.277383837993734,0.0753323156031256,0.0657284887592967,0.0867484689409506,0.0323114475925293,0.050763506168855
"HARV_033-M-33-4-20140717",0.117021455431187,0.171349372042256,0.0636659776293632,0.0518923618360124,0.285762182735773,0.0721384852771546,0.067738435688515,0.0873980609400468,0.032531785622433,0.0505018827972582
